week_start_date,week_of_year,month,quarter,season,is_holiday
2018-01-01,1,1,1,Winter,1
2018-01-08,2,1,1,Winter,0
2018-01-15,3,1,1,Winter,0
2018-01-22,4,1,1,Winter,0
2018-01-29,5,1,1,Winter,0
2018-02-05,6,2,1,Winter,0
2018-02-12,7,2,1,Winter,0
2018-02-19,8,2,1,Winter,0
2018-02-26,9,2,1,Winter,0
2018-03-05,10,3,1,Summer,0
2018-03-12,11,3,1,Summer,0
2018-03-19,12,3,1,Summer,0
2018-03-26,13,3,1,Summer,0
2018-04-02,14,4,2,Summer,0
2018-04-09,15,4,2,Summer,0
2018-04-16,16,4,2,Summer,0
2018-04-23,17,4,2,Summer,0
2018-04-30,18,4,2,Summer,0
2018-05-07,19,5,2,Summer,0
2018-05-14,20,5,2,Summer,0
2018-05-21,21,5,2,Summer,0
2018-05-28,22,5,2,Summer,0
2018-06-04,23,6,2,Summer,0
2018-06-11,24,6,2,Summer,0
2018-06-18,25,6,2,Summer,0
2018-06-25,26,6,2,Summer,0
2018-07-02,27,7,3,Monsoon,0
2018-07-09,28,7,3,Monsoon,0
2018-07-16,29,7,3,Monsoon,0
2018-07-23,30,7,3,Monsoon,0
2018-07-30,31,7,3,Monsoon,0
2018-08-06,32,8,3,Monsoon,0
2018-08-13,33,8,3,Monsoon,0
2018-08-20,34,8,3,Monsoon,0
2018-08-27,35,8,3,Monsoon,0
2018-09-03,36,9,3,Monsoon,0
2018-09-10,37,9,3,Monsoon,0
2018-09-17,38,9,3,Monsoon,0
2018-09-24,39,9,3,Monsoon,0
2018-10-01,40,10,4,Autumn,1
2018-10-08,41,10,4,Autumn,1
2018-10-15,42,10,4,Autumn,0
2018-10-22,43,10,4,Autumn,0
2018-10-29,44,10,4,Autumn,0
2018-11-05,45,11,4,Autumn,1
2018-11-12,46,11,4,Autumn,1
2018-11-19,47,11,4,Autumn,0
2018-11-26,48,11,4,Autumn,0
2018-12-03,49,12,4,Winter,0
2018-12-10,50,12,4,Winter,0
2018-12-17,51,12,4,Winter,0
2018-12-24,52,12,4,Winter,0
2018-12-31,1,12,4,Winter,0
2019-01-07,2,1,1,Winter,1
2019-01-14,3,1,1,Winter,0
2019-01-21,4,1,1,Winter,0
2019-01-28,5,1,1,Winter,0
2019-02-04,6,2,1,Winter,0
2019-02-11,7,2,1,Winter,0
2019-02-18,8,2,1,Winter,0
2019-02-25,9,2,1,Winter,0
2019-03-04,10,3,1,Summer,0
