week_start_date,region,ili_rate,positive_cases,flu_activity_level
2018-01-01,North,6.56,290,High
2018-01-08,North,6.72,328,High
2018-01-15,North,11.47,522,Very High
2018-01-22,North,10.17,482,Very High
2018-01-29,North,9.34,486,Very High
2018-02-05,North,8.74,444,Very High
2018-02-12,North,7.56,412,High
2018-02-19,North,6.83,349,High
2018-02-26,North,5.94,272,High
2018-03-05,North,5.5,223,Medium
2018-03-12,North,4.97,251,Medium
2018-03-19,North,4.27,185,Medium
2018-03-26,North,3.84,176,Medium
2018-04-02,North,4.32,173,Medium
2018-04-09,North,3.51,146,Medium
2018-04-16,North,3.96,179,Medium
2018-04-23,North,3.88,202,Medium
2018-04-30,North,3.75,167,Medium
2018-05-07,North,3.73,185,Medium
2018-05-14,North,3.73,154,Medium
2018-05-21,North,3.67,188,Medium
2018-05-28,North,3.86,193,Medium
2018-06-04,North,3.53,161,Medium
2018-06-11,North,3.42,138,Medium
2018-06-18,North,4.17,205,Medium
2018-06-25,North,3.98,189,Medium
2018-07-02,North,3.53,172,Medium
2018-07-09,North,3.85,182,Medium
2018-07-16,North,3.92,151,Medium
2018-07-23,North,3.48,144,Medium
2018-07-30,North,3.58,187,Medium
2018-08-06,North,3.25,126,Medium
2018-08-13,North,3.82,164,Medium
2018-08-20,North,3.88,184,Medium
2018-08-27,North,3.7,182,Medium
2018-09-03,North,3.53,183,Medium
2018-09-10,North,3.41,130,Medium
2018-09-17,North,3.51,176,Medium
2018-09-24,North,3.81,155,Medium
2018-10-01,North,3.65,148,Medium
2018-10-08,North,3.8,173,Medium
2018-10-15,North,3.61,155,Medium
2018-10-22,North,3.62,159,Medium
2018-10-29,North,3.14,125,Medium
2018-11-05,North,3.29,176,Medium
2018-11-12,North,3.33,141,Medium
2018-11-19,North,4.1,209,Medium
2018-11-26,North,3.9,178,Medium
2018-12-03,North,3.57,141,Medium
2018-12-10,North,3.52,161,Medium
2018-12-17,North,6.68,288,High
2018-12-24,North,7.26,297,High
2018-12-31,North,6.4,325,High
2019-01-07,North,5.25,237,Medium
2019-01-14,North,5.05,242,Medium
2019-01-21,North,8.74,344,Very High
2019-01-28,North,8.24,318,Very High
2019-02-04,North,7.89,344,High
2019-02-11,North,6.75,268,High
2019-02-18,North,5.43,222,Medium
2019-02-25,North,4.82,230,Medium
2019-03-04,North,4.07,195,Medium
2019-03-11,North,4.0,217,Medium
2019-03-18,North,3.37,172,Medium
2019-03-25,North,3.76,174,Medium
2019-04-01,North,4.32,232,Medium
2019-04-08,North,2.84,130,Low
2019-04-15,North,3.21,140,Medium
2019-04-22,North,2.94,133,Low
2019-04-29,North,3.01,156,Medium
2019-05-06,North,3.1,125,Medium
2019-05-13,North,2.68,106,Low
2019-05-20,North,2.87,122,Low
2019-05-27,North,3.14,158,Medium
2019-06-03,North,3.09,122,Medium
2019-06-10,North,2.87,120,Low
2019-06-17,North,2.7,128,Low
2019-06-24,North,3.78,197,Medium
2019-07-01,North,3.33,144,Medium
2019-07-08,North,3.37,144,Medium
2019-07-15,North,2.99,126,Low
2019-07-22,North,2.81,114,Low
2019-07-29,North,2.88,130,Low
2019-08-05,North,2.59,137,Low
2019-08-12,North,3.59,190,Medium
2019-08-19,North,3.0,140,Low
2019-08-26,North,3.5,178,Medium
2019-09-02,North,2.9,128,Low
2019-09-09,North,3.19,161,Medium
2019-09-16,North,3.1,167,Medium
2019-09-23,North,2.56,102,Low
2019-09-30,North,3.64,147,Medium
2019-10-07,North,2.91,140,Low
2019-10-14,North,2.65,114,Low
2019-10-21,North,3.27,178,Medium
2019-10-28,North,3.04,122,Medium
2019-11-04,North,3.16,132,Medium
2019-11-11,North,3.07,152,Medium
2019-11-18,North,2.32,108,Low
2019-11-25,North,2.74,131,Low
2019-12-02,North,2.73,141,Low
2019-12-09,North,3.36,169,Medium
2019-12-16,North,6.09,244,High
2019-12-23,North,6.18,276,High
2019-12-30,North,5.68,263,High
2020-01-06,North,7.04,381,High
2020-01-13,North,6.32,339,High
2020-01-20,North,11.04,523,Very High
2020-01-27,North,10.39,413,Very High
2020-02-03,North,9.43,425,Very High
2020-02-10,North,9.29,447,Very High
2020-02-17,North,7.13,368,High
2020-02-24,North,6.03,309,High
2020-03-02,North,5.89,234,High
2020-03-09,North,4.92,253,Medium
2020-03-16,North,3.95,185,Medium
2020-03-23,North,4.0,210,Medium
2020-03-30,North,4.92,221,Medium
2020-04-06,North,3.69,181,Medium
