snapshot_date,sku_id,plant_id,closing_stock,reserved_stock,in_transit_stock,safety_stock,reorder_point,days_to_expiry
2026-08-10,MED001,PLANT_BLR,50,1834,7097,10660,15990,407
2026-08-10,MED001,PLANT_CHE,12126,965,3130,7944,11916,146
2026-08-10,MED001,PLANT_DEL,20000,315,3012,9949,14923,482
2026-08-10,MED001,PLANT_KOL,13213,1964,3485,8513,12769,559
2026-08-10,MED001,PLANT_MUM,50,1442,6596,11774,17661,18
2026-08-10,MED002,PLANT_BLR,8520,834,2964,4866,7299,626
2026-08-10,MED002,PLANT_CHE,4543,408,3206,4064,6096,680
2026-08-10,MED002,PLANT_DEL,6094,213,1906,5487,8230,328
2026-08-10,MED002,PLANT_KOL,3555,805,3789,3857,5785,62
2026-08-10,MED002,PLANT_MUM,50,193,3350,5437,8155,75
2026-08-10,MED003,PLANT_BLR,5932,809,1427,3808,5712,387
2026-08-10,MED003,PLANT_CHE,4069,342,1071,2704,4056,188
2026-08-10,MED003,PLANT_DEL,17408,870,2551,3509,5263,15
2026-08-10,MED003,PLANT_KOL,4410,112,1562,2623,3934,244
2026-08-10,MED003,PLANT_MUM,15043,752,1265,4166,6249,296
2026-08-10,MED004,PLANT_BLR,7020,351,401,1699,2548,154
2026-08-10,MED004,PLANT_CHE,8290,414,703,1734,2601,93
2026-08-10,MED004,PLANT_DEL,6178,308,1647,2248,3372,262
2026-08-10,MED004,PLANT_KOL,5087,254,775,1844,2766,70
2026-08-10,MED004,PLANT_MUM,7845,392,1508,2609,3913,475
2026-08-10,MED005,PLANT_BLR,8110,405,2122,4371,6556,397
2026-08-10,MED005,PLANT_CHE,3975,106,1859,3564,5346,158
2026-08-10,MED005,PLANT_DEL,11737,586,1151,4785,7177,414
2026-08-10,MED005,PLANT_KOL,10078,503,991,4025,6037,652
2026-08-10,MED005,PLANT_MUM,15227,761,845,6865,10297,169
2026-08-10,MED006,PLANT_BLR,5811,290,730,2769,4153,510
2026-08-10,MED006,PLANT_CHE,6032,301,699,2426,3639,225
2026-08-10,MED006,PLANT_DEL,3925,196,1670,2517,3775,218
2026-08-10,MED006,PLANT_KOL,5747,287,1005,1783,2674,370
2026-08-10,MED006,PLANT_MUM,5284,237,385,3382,5073,123
2026-08-10,MED007,PLANT_BLR,30553,1527,2741,10472,15708,20
2026-08-10,MED007,PLANT_CHE,18592,929,157,8247,12370,107
2026-08-10,MED007,PLANT_DEL,20400,1020,3634,11188,16782,449
2026-08-10,MED007,PLANT_KOL,20475,1023,3730,6606,9909,425
2026-08-10,MED007,PLANT_MUM,16495,824,6895,11968,17952,588
2026-08-10,MED008,PLANT_BLR,12046,602,5284,8032,12048,667
2026-08-10,MED008,PLANT_CHE,12375,618,259,6619,9928,210
2026-08-10,MED008,PLANT_DEL,17296,864,333,9244,13866,347
2026-08-10,MED008,PLANT_KOL,11839,591,3924,6742,10113,554
2026-08-10,MED008,PLANT_MUM,21139,1056,747,11132,16698,621
2026-08-10,MED009,PLANT_BLR,9664,483,1053,3411,5116,561
2026-08-10,MED009,PLANT_CHE,11968,598,232,3062,4593,570
2026-08-10,MED009,PLANT_DEL,8686,434,3367,4028,6042,321
2026-08-10,MED009,PLANT_KOL,9076,453,1315,2394,3591,304
2026-08-10,MED009,PLANT_MUM,16965,848,2073,4026,6039,158
2026-08-10,MED010,PLANT_BLR,18343,917,1924,4498,6747,190
2026-08-10,MED010,PLANT_CHE,15933,796,4,3489,5233,246
2026-08-10,MED010,PLANT_DEL,21521,1076,1341,5195,7792,458
2026-08-10,MED010,PLANT_KOL,8805,440,3268,3635,5452,402
2026-08-10,MED010,PLANT_MUM,23256,1162,2192,5669,8503,130
2026-08-10,MED011,PLANT_BLR,16005,800,1331,3994,5991,608
2026-08-10,MED011,PLANT_CHE,13991,699,242,4585,6877,458
2026-08-10,MED011,PLANT_DEL,15060,753,2580,4492,6738,491
2026-08-10,MED011,PLANT_KOL,8704,435,2495,2877,4315,667
2026-08-10,MED011,PLANT_MUM,20962,1048,2800,5183,7774,699
2026-08-10,MED012,PLANT_BLR,18921,946,1297,4700,7050,339
2026-08-10,MED012,PLANT_CHE,17643,882,3154,4299,6448,253
2026-08-10,MED012,PLANT_DEL,24089,1204,2708,5322,7983,546
2026-08-10,MED012,PLANT_KOL,7709,385,110,3785,5677,366
2026-08-10,MED012,PLANT_MUM,17905,895,3838,6214,9321,480
