week_start_date,sku_id,plant_id,region,quantity_sold,price,promotion_flag,sales_value
2018-01-01,MED001,PLANT_DEL,North,10399,8.5,0,88394.87
2018-01-08,MED001,PLANT_DEL,North,10000,8.5,0,84997.66
2018-01-15,MED001,PLANT_DEL,North,9801,8.5,0,83312.0
2018-01-22,MED001,PLANT_DEL,North,11676,8.5,0,99242.54
2018-01-29,MED001,PLANT_DEL,North,10472,8.5,0,89011.49
2018-02-05,MED001,PLANT_DEL,North,9900,8.5,0,84151.51
2018-02-12,MED001,PLANT_DEL,North,10582,7.22,1,76401.23
2018-02-19,MED001,PLANT_DEL,North,10785,8.5,0,91673.97
2018-02-26,MED001,PLANT_DEL,North,10141,8.5,0,86202.31
2018-03-05,MED001,PLANT_DEL,North,9935,8.5,0,84450.28
2018-03-12,MED001,PLANT_DEL,North,9154,8.5,0,77808.02
2018-03-19,MED001,PLANT_DEL,North,9514,8.5,0,80867.35
2018-03-26,MED001,PLANT_DEL,North,9399,8.5,0,79891.11
2018-04-02,MED001,PLANT_DEL,North,9941,8.5,0,84500.36
2018-04-09,MED001,PLANT_DEL,North,9803,8.5,0,83328.43
2018-04-16,MED001,PLANT_DEL,North,8789,8.5,0,74709.12
2018-04-23,MED001,PLANT_DEL,North,9154,8.5,0,77806.63
2018-04-30,MED001,PLANT_DEL,North,9042,8.5,0,76861.2
2018-05-07,MED001,PLANT_DEL,North,9232,8.5,0,78469.26
2018-05-14,MED001,PLANT_DEL,North,8194,8.5,0,69647.64
2018-05-21,MED001,PLANT_DEL,North,8921,8.5,0,75827.13
2018-05-28,MED001,PLANT_DEL,North,8731,8.5,0,74212.54
2018-06-04,MED001,PLANT_DEL,North,9601,8.5,0,81608.75
2018-06-11,MED001,PLANT_DEL,North,9379,8.5,0,79719.48
2018-06-18,MED001,PLANT_DEL,North,9279,8.5,0,78870.06
2018-06-25,MED001,PLANT_DEL,North,9092,8.5,0,77278.68
2018-07-02,MED001,PLANT_DEL,North,8818,8.5,0,74956.8
2018-07-09,MED001,PLANT_DEL,North,8171,8.5,0,69449.81
2018-07-16,MED001,PLANT_DEL,North,7822,8.5,0,66491.04
2018-07-23,MED001,PLANT_DEL,North,8204,8.5,0,69736.63
2018-07-30,MED001,PLANT_DEL,North,7792,8.5,0,66232.22
2018-08-06,MED001,PLANT_DEL,North,7860,8.5,0,66810.76
2018-08-13,MED001,PLANT_DEL,North,7789,8.5,0,66204.07
2018-08-20,MED001,PLANT_DEL,North,7038,8.5,0,59823.98
2018-08-27,MED001,PLANT_DEL,North,8040,8.5,0,68339.0
2018-09-03,MED001,PLANT_DEL,North,7982,8.5,0,67848.08
2018-09-10,MED001,PLANT_DEL,North,7017,8.5,0,59647.61
2018-09-17,MED001,PLANT_DEL,North,7110,8.5,0,60436.78
2018-09-24,MED001,PLANT_DEL,North,9984,7.22,1,72082.81
2018-10-01,MED001,PLANT_DEL,North,7924,8.5,0,67351.99
2018-10-08,MED001,PLANT_DEL,North,7433,8.5,0,63176.27
