supplier_id,supplier_name,sku_id,unit_price,shipping_cost_per_order,lead_time_days,moq,max_capacity_units_per_week,otd_rate,quality_score,contract_min_units,contract_max_units,historical_avg_delay_days,delay_std_days
SUP_MED001_1,Vertex Bio Supply,MED001,7.49,3754.0,14,500,19899,0.817,0.895,1989,17909,2.9,1.3
SUP_MED001_2,Apex Pharma Supplies,MED001,8.23,2653.0,7,2000,13934,0.927,0.96,1393,12540,0.6,0.3
SUP_MED001_3,MedLink Traders,MED001,8.53,812.0,8,500,16869,0.916,0.937,1686,15182,0.9,0.3
SUP_MED002_1,Trident Logistics Pharma,MED002,6.37,1463.0,6,1000,10606,0.947,0.951,1060,9545,0.4,0.3
SUP_MED002_2,Apex Pharma Supplies,MED002,6.09,2849.0,9,2000,10016,0.922,0.955,1001,9014,0.8,0.4
SUP_MED002_3,Vertex Bio Supply,MED002,6.3,2130.0,9,2000,6013,0.904,0.961,601,5411,0.8,0.4
SUP_MED003_1,Sunrise Distributors,MED003,61.49,3047.0,14,500,5406,0.821,0.885,540,4865,2.0,1.3
SUP_MED003_2,Global Health Sourcing,MED003,64.87,964.0,9,2000,7979,0.92,0.931,797,7181,0.8,0.4
SUP_MED003_3,Nova Pharma Co,MED003,77.27,3353.0,4,500,8873,0.989,0.989,887,7985,0.0,0.3
SUP_MED003_4,Apex Pharma Supplies,MED003,68.49,933.0,3,1000,5032,0.974,0.982,503,4528,0.1,0.3
SUP_MED004_1,Global Health Sourcing,MED004,39.7,3960.0,12,2000,2672,0.854,0.872,267,2404,2.0,0.9
SUP_MED004_2,Nova Pharma Co,MED004,51.54,2087.0,3,1000,4649,0.99,0.979,464,4184,0.0,0.3
SUP_MED004_3,Trident Logistics Pharma,MED004,44.52,2041.0,9,2000,3710,0.952,0.964,371,3339,0.4,0.3
SUP_MED004_4,BlueCross Wholesale,MED004,42.44,2088.0,16,2000,2235,0.858,0.897,223,2011,3.1,1.1
SUP_MED005_1,Trident Logistics Pharma,MED005,18.89,650.0,14,1000,7137,0.898,0.879,713,6423,1.6,0.7
SUP_MED005_2,MedLink Traders,MED005,21.75,516.0,8,500,7276,0.913,0.933,727,6548,0.6,0.3
SUP_MED005_3,Sunrise Distributors,MED005,24.09,3751.0,2,1000,7466,0.971,0.992,746,6719,0.1,0.3
SUP_MED005_4,Vertex Bio Supply,MED005,20.52,552.0,17,2000,4948,0.835,0.896,494,4453,2.9,1.4
SUP_MED006_1,Trident Logistics Pharma,MED006,281.54,3750.0,14,500,3796,0.805,0.922,379,3416,3.4,1.4
SUP_MED006_2,Sunrise Distributors,MED006,373.79,2917.0,3,2000,2940,0.966,0.974,294,2646,0.1,0.3
SUP_MED006_3,Nova Pharma Co,MED006,332.75,601.0,8,500,2508,0.919,0.969,250,2257,0.8,0.3
SUP_MED006_4,Vertex Bio Supply,MED006,347.07,3977.0,4,500,3733,0.975,0.983,373,3359,0.1,0.3
SUP_MED007_1,BlueCross Wholesale,MED007,3.2,1036.0,8,1000,12007,0.944,0.931,1200,10806,0.4,0.3
SUP_MED007_2,Sunrise Distributors,MED007,3.35,2019.0,8,500,8386,0.949,0.943,838,7547,0.3,0.3
SUP_MED007_3,Apex Pharma Supplies,MED007,3.6,1387.0,2,2000,10458,0.988,0.98,1045,9412,0.0,0.3
SUP_MED007_4,Nova Pharma Co,MED007,3.64,1932.0,4,500,9446,0.985,0.987,944,8501,0.1,0.3
SUP_MED008_1,BlueCross Wholesale,MED008,4.34,3522.0,3,500,6708,0.977,0.99,670,6037,0.1,0.3
SUP_MED008_2,Apex Pharma Supplies,MED008,4.23,1232.0,8,500,7020,0.951,0.964,702,6318,0.5,0.3
SUP_MED008_3,Global Health Sourcing,MED008,4.6,3026.0,3,500,11213,0.97,0.978,1121,10091,0.1,0.3
SUP_MED008_4,Vertex Bio Supply,MED008,4.31,3618.0,2,1000,11642,0.97,0.989,1164,10477,0.1,0.3
SUP_MED009_1,MedLink Traders,MED009,34.72,3914.0,2,2000,6272,0.979,0.983,627,5644,0.0,0.3
SUP_MED009_2,Nova Pharma Co,MED009,30.26,1314.0,11,500,3921,0.847,0.916,392,3528,2.2,0.8
SUP_MED009_3,Vertex Bio Supply,MED009,28.85,2509.0,15,500,8486,0.835,0.913,848,7637,2.5,1.2
SUP_MED010_1,Global Health Sourcing,MED010,13.24,2396.0,4,500,7742,0.979,0.991,774,6967,0.1,0.3
SUP_MED010_2,Sunrise Distributors,MED010,10.94,3875.0,10,500,8069,0.816,0.854,806,7262,1.6,0.9
SUP_MED010_3,Apex Pharma Supplies,MED010,12.49,3148.0,7,2000,4472,0.925,0.96,447,4024,0.6,0.3
SUP_MED011_1,BlueCross Wholesale,MED011,5.17,1917.0,10,500,6762,0.821,0.906,676,6085,1.5,0.9
SUP_MED011_2,Apex Pharma Supplies,MED011,6.6,1038.0,4,1000,9742,0.968,0.988,974,8767,0.1,0.3
SUP_MED011_3,MedLink Traders,MED011,4.8,756.0,13,1000,7188,0.84,0.888,718,6469,1.8,1.0
SUP_MED011_4,Global Health Sourcing,MED011,4.96,3803.0,11,500,10662,0.863,0.911,1066,9595,1.5,0.8
SUP_MED012_1,Vertex Bio Supply,MED012,4.68,3476.0,7,2000,12221,0.932,0.938,1222,10998,0.6,0.3
SUP_MED012_2,BlueCross Wholesale,MED012,4.7,1199.0,7,2000,11669,0.946,0.95,1166,10502,0.4,0.3
SUP_MED012_3,Nova Pharma Co,MED012,4.56,3997.0,13,1000,13763,0.821,0.866,1376,12386,3.0,1.2
