sku_id,medicine_name,plant_id,region,criticality,flu_related,last_actual_qty,recent_avg,forecast_qty_4wk,forecast_lower90,forecast_upper90,demand_growth_pct,forecast_growth_pct,flu_signal_pct,demand_momentum_score,momentum_band,closing_stock,in_transit_stock,safety_stock,stock_cover_days,days_to_expiry,market_need_score,need_band
MED001,Paracetamol 500mg,PLANT_BLR,South,Medium,1,10661,10600.75,10033.2582796188,9385.94642306538,10680.57013617222,-3.9402840810408803,-5.353316702886118,9.78157644824312,56.7,High,50,7097,10660,14.827087657276184,407,75.8,Critical
MED002,Cetirizine 10mg,PLANT_MUM,West,Medium,1,4896,5284.75,5120.623114644838,4473.3112580914185,5767.934971198258,-4.946265569495031,-3.105669811347025,0.90744101633393,57.0,High,50,3350,5437,17.53614706444338,75,75.2,Critical
MED001,Paracetamol 500mg,PLANT_MUM,West,Medium,1,10832,12208.0,11081.610541481094,10434.298684927677,11728.922398034512,-0.33336508238880386,-9.226650217225641,0.90744101633393,50.3,Medium,50,6596,11774,13.148991245863177,18,73.6,High
MED001,Paracetamol 500mg,PLANT_KOL,East,Medium,1,7935,8960.25,8185.303693031625,7537.991836478205,8832.615549585043,3.5956874873543954,-8.648713004306522,18.02884615384615,69.7,High,13213,3485,8513,50.401550812490555,559,69.0,High
MED003,Cough Syrup 100ml,PLANT_BLR,South,Medium,1,3652,3644.0,3551.409922876199,2904.0980663227792,4198.721779429618,-5.256315812280622,-2.540891249281042,9.78157644824312,62.3,High,5932,1427,3808,51.64146183706917,387,66.0,High
MED005,Azithromycin 500mg,PLANT_CHE,South,High,1,2163,2417.75,2269.830519006769,1622.51866245335,2917.142375560189,-2.3361497290200846,-6.118063529861689,9.78157644824312,59.1,High,3975,1859,3564,70.65901998276978,158,63.7,High
MED002,Cetirizine 10mg,PLANT_KOL,East,Medium,1,3529,3664.25,3487.373149783524,2840.061293230104,4134.685006336943,-5.900102722136621,-4.827095591634746,18.02884615384615,56.4,High,3555,3789,3857,52.501407832243395,62,63.7,High
MED002,Cetirizine 10mg,PLANT_DEL,North,Medium,1,5352,5452.5,5231.346985656724,4584.035129103305,5878.658842210144,-2.5265917826177584,-4.0559929269743344,-33.40227507755949,44.6,Medium,6094,1906,5487,41.67874939242413,328,63.0,High
MED001,Paracetamol 500mg,PLANT_CHE,South,Medium,1,7306,7355.75,7311.752136614656,6664.440280061236,7959.063993168075,-9.455619723655465,-0.5981424516241624,9.78157644824312,56.0,High,12126,3130,7944,54.726691020638,146,62.8,High
MED003,Cough Syrup 100ml,PLANT_CHE,South,Medium,1,2643,2429.25,2436.06247084073,1788.7506142873103,3083.374327394149,-11.360111898318474,0.28043514832684696,9.78157644824312,56.0,High,4069,1071,2704,55.148011025199786,188,62.7,High
